name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,rbi,b_total_bases,r_total_stolen_base,exit_velocity_avg,hard_hit_percent,oz_contact_percent,pitch_count,iz_contact_percent,whiff_percent
Seiya Suzuki,2022,27,397,446,104,66,22,2,14,110,42,24.7,9.4,0.262,0.433,0.336,0.769,0.171,46,172,9,89.6,41.3,58.4,1876,84.1,22.8
Chas McCormick,2022,27,359,407,88,60,12,2,14,106,46,26.0,11.3,0.245,0.407,0.332,0.739,0.162,44,146,4,88.1,39.0,52.2,1584,74.1,32.2
Wander Franco,2022,21,314,344,87,58,20,3,6,33,26,9.6,7.6,0.277,0.417,0.328,0.745,0.14,33,131,8,87.3,35.8,73.1,1216,92.5,13.3
Julio Rodriguez,2022,21,511,560,145,89,25,3,28,145,40,25.9,7.1,0.284,0.509,0.345,0.854,0.225,75,260,25,92.0,50.7,51.4,2084,80.1,30.4
Alek Thomas,2022,22,381,411,88,62,17,1,8,74,22,18.0,5.4,0.231,0.344,0.275,0.619,0.113,39,131,4,87.4,34.6,60.7,1483,81.6,25.0
Bobby Witt Jr.,2022,22,591,632,150,93,31,6,20,135,30,21.4,4.7,0.254,0.428,0.294,0.722,0.174,80,253,30,89.7,38.6,61.0,2332,82.1,25.2
Spencer Torkelson,2022,22,360,404,73,48,16,1,8,99,37,24.5,9.2,0.203,0.319,0.285,0.604,0.116,28,115,0,90.5,41.8,53.5,1609,82.1,25.6
Steven Kwan,2022,24,563,638,168,130,25,7,6,60,62,9.4,9.7,0.298,0.4,0.373,0.773,0.102,52,225,19,85.1,20.8,79.6,2643,93.7,9.0
Owen Miller,2022,25,424,472,103,70,26,1,6,93,32,19.7,6.8,0.243,0.351,0.301,0.652,0.108,51,149,2,85.8,31.2,70.5,1836,88.2,18.5
Brendan Donovan,2022,25,391,468,110,83,21,1,5,70,60,15.0,12.8,0.281,0.379,0.394,0.773,0.098,45,148,2,87.7,37.7,66.7,1966,90.4,15.6
Bryson Stott,2022,24,427,466,100,69,19,2,10,89,36,19.1,7.7,0.234,0.358,0.295,0.653,0.124,49,153,12,88.1,36.8,73.9,1877,86.0,17.2
CJ Abrams,2022,21,284,302,70,54,12,2,2,50,5,16.6,1.7,0.246,0.324,0.28,0.604,0.078,21,92,7,86.5,30.7,64.3,1008,83.7,22.3
Riley Greene,2022,21,376,418,95,68,18,4,5,120,36,28.7,8.6,0.253,0.362,0.321,0.683,0.109,42,136,1,89.5,45.2,57.1,1716,82.4,25.6
Andrew Vaughn,2022,24,510,555,138,92,28,1,17,96,31,17.3,5.6,0.271,0.429,0.321,0.75,0.158,76,219,0,90.8,48.6,62.7,2087,87.8,21.0
Vinnie Pasquantino,2022,24,258,298,76,56,10,0,10,34,35,11.4,11.7,0.295,0.45,0.383,0.833,0.155,26,116,1,91.2,46.9,70.5,1039,90.4,15.3
